121	122
31	48
135	136
95	96
30	31
76	98
91	92
115	116
123	124
133	134
74	75
104	105
97	98
170	171
120	138
136	137
153	169
124	135
99	107
20	21
136	141
155	156
104	125
46	47
105	106
138	140
34	46
118	119
18	19
94	95
125	126
64	77
120	121
126	127
138	139
144	145
144	153
135	137
100	107
175	189
76	97
168	169
163	164
61	62
121	137
42	43
96	108
122	137
80	89
74	102
137	138
98	99
107	108
47	48
154	167
142	155
106	123
134	135
122	123
65	77
52	54
152	171
101	102
132	133
134	157
106	108
146	147
67	68
116	147
119	139
43	68
30	48
45	66
120	139
109	119
21	33
99	100
28	49
109	139
96	97
181	185
78	91
63	92
134	136
181	182
74	101
30	49
100	101
123	135
78	92
162	163
66	67
126	132
17	36
1	2
2	1
3	4
4	9
5	1
6	7
7	8
8	19
9	4
10	8
11	12
12	13
13	15
14	13
15	13
16	17
22	21
23	32
24	23
25	26
26	25
27	28
29	28
32	23
35	34
37	36
38	42
39	15
40	41
41	70
44	37
50	27
51	56
53	54
55	56
56	51
57	58
58	57
59	28
60	61
69	70
70	69
71	70
72	71
73	103
79	59
81	57
82	85
83	84
84	83
85	82
86	87
87	113
88	113
90	91
93	94
103	102
110	111
111	110
112	88
113	88
114	148
117	145
128	132
129	128
130	129
131	128
143	118
148	151
149	84
150	86
151	148
158	157
159	130
160	161
161	183
165	166
166	179
172	176
173	151
174	173
176	172
177	152
178	186
179	166
180	181
183	161
184	197
186	178
187	186
188	175
190	189
191	190
192	193
193	188
194	196
195	186
196	194
197	185
198	160
1	5
2	3
3	2
4	3
5	4
6	24
7	6
8	18
9	10
10	16
11	10
12	14
13	14
14	15
15	39
16	38
22	32
23	24
24	29
25	24
26	52
27	29
29	49
32	22
35	45
37	17
38	16
39	41
40	71
41	39
44	68
50	28
51	50
53	52
55	52
56	57
57	56
58	88
59	49
60	48
69	43
70	71
71	41
72	73
73	102
79	80
81	56
82	55
83	82
84	149
85	86
86	85
87	86
88	112
90	89
93	77
103	73
110	93
111	117
112	89
113	112
114	113
117	116
128	131
129	130
130	159
131	158
143	142
148	114
149	85
150	174
151	173
158	162
159	198
160	184
161	162
165	164
166	165
172	171
173	172
174	190
176	171
177	153
178	179
179	178
180	179
183	163
184	182
186	185
187	178
188	176
190	174
191	189
192	189
193	187
194	195
195	187
196	195
197	181
198	184
1	4
2	4
3	9
4	1
5	6
6	23
7	22
8	7
9	11
10	11
11	9
12	11
13	12
14	12
15	14
16	10
22	33
23	22
24	30
25	6
26	51
27	50
29	24
32	33
35	64
37	44
38	43
39	13
40	70
41	69
44	43
50	51
51	55
53	55
55	51
56	55
57	81
58	80
59	79
60	49
69	75
70	41
71	69
72	129
73	127
79	90
81	58
82	53
83	53
84	82
85	81
86	81
87	88
88	58
90	79
93	64
103	125
110	92
111	90
112	80
113	114
114	151
117	111
128	127
129	127
130	131
131	132
143	119
148	147
149	86
150	87
151	172
158	134
159	160
160	183
161	163
165	180
166	167
172	152
173	174
174	189
176	188
177	154
178	177
179	180
180	166
183	182
184	160
186	187
187	177
188	189
190	175
191	174
192	175
193	195
194	193
195	185
196	197
197	184
198	159
